feature,sex,n_obs,n_excluded,exclusions,direction,monotonic,usable,seg_lo,seg_hi,note
activity_bout_frag,female,1513,0,-,increase,False,True,35.5,84.0,non-monotonic overall (20% of travel reverses); restricted to monotonic segment 36-84y
activity_bout_frag,male,1478,0,-,increase,False,True,27.5,84.0,non-monotonic overall (11% of travel reverses); restricted to monotonic segment 28-84y
activity_cv,female,1513,0,-,increase,False,True,34.5,84.0,non-monotonic overall (34% of travel reverses); restricted to monotonic segment 34-84y
activity_cv,male,1478,0,-,increase,False,True,32.5,84.0,non-monotonic overall (20% of travel reverses); restricted to monotonic segment 32-84y
albumin,female,2176,149,liver_disease,decrease,False,True,49.5,84.0,non-monotonic overall (35% of travel reverses); restricted to monotonic segment 50-84y
albumin,male,2005,149,liver_disease,decrease,True,True,20.0,84.0,monotonic across full range
alk_phos,female,2176,149,liver_disease,increase,False,True,33.5,71.0,non-monotonic overall (18% of travel reverses); restricted to monotonic segment 34-71y
alk_phos,male,2004,149,liver_disease,increase,False,True,36.5,64.5,non-monotonic overall (47% of travel reverses); restricted to monotonic segment 36-64y
alt,female,2146,147,liver_disease,increase,False,True,20.0,59.5,non-monotonic overall (33% of travel reverses); restricted to monotonic segment 20-60y
alt,male,1966,147,liver_disease,decrease,False,True,32.0,84.0,non-monotonic overall (28% of travel reverses); restricted to monotonic segment 32-84y
creatinine,female,2176,110,kidney_disease,increase,True,True,20.0,84.0,monotonic across full range
creatinine,male,2043,110,kidney_disease,increase,True,True,20.0,84.0,monotonic across full range
crp,female,1891,533,acute_inflammation,increase,False,True,37.5,78.5,non-monotonic overall (16% of travel reverses); restricted to monotonic segment 38-78y
crp,male,1933,533,acute_inflammation,increase,False,True,20.0,62.5,non-monotonic overall (7% of travel reverses); restricted to monotonic segment 20-62y
ggt,female,2176,148,liver_disease+heavy_alcohol,increase,True,True,20.0,84.0,monotonic across full range
ggt,male,2004,148,liver_disease+heavy_alcohol,decrease,False,True,40.5,84.0,non-monotonic overall (50% of travel reverses); restricted to monotonic segment 40-84y
glucose_fasting,female,880,220,diabetes,increase,True,True,20.0,84.0,monotonic across full range
glucose_fasting,male,847,220,diabetes,increase,False,True,20.0,80.0,non-monotonic overall (8% of travel reverses); restricted to monotonic segment 20-80y
