,z,hr,n,events,note,weight,precision,final_weight
albumin,4.316953400161856,1.0068214677533989,4329,751,,0.20534862931641087,0.01786338302224178,0.12044536219012347
creatinine,1.2018202473789505,1.0018620818671042,4329,751,,0.05716812705801372,0.045414835697153516,0.08524840746981098
alk_phos,1.2750345505697032,1.0031380724764851,4329,751,,0.060650781470269706,0.018120117246509884,0.03608543689031531
urea_nitrogen,-0.24326218473171135,0.9996169916039053,4329,751,,0.0,0.08359212543375127,0.0
uric_acid,1.151114632673236,1.0020680736712602,4329,751,,0.054756164844552216,0.00997756415929173,0.017938747406102525
total_protein,0.0,,2080,433,fit failed: Convergence halted due to matrix inversion problems. Suspicion is high collinearity. Please see the following tips in the lifelines documentation: https://lifelines.readthedocs.io/en/latest/Examples.html#problems-with-convergence-in-the-cox-proportional-hazard-modelMatrix is singular.,0.0,0.011264165795361462,0.0
ggt,-1.2353052219221623,0.9979318207143262,4329,751,,0.0,0.03127671457984304,0.0
alt,-0.6623170974570122,0.9986809540047978,4258,734,,0.0,0.06239359362596643,0.0
crp,2.4135853690165248,1.0053213866572008,4356,757,,0.11480931141093728,0.02021249406386817,0.07619589607770669
wbc,-6.151613390867558,0.987226256958083,4371,763,,0.0,0.003549427571256182,0.0
lymph_pct,2.003643754401239,1.0035570484291054,4349,761,,0.09530922863083383,0.05795234713691525,0.18135959947431146
rdw,6.355135521963048,1.0090543571708968,4371,763,,0.3023007773274124,0.03162928096709222,0.3139519221220574
mcv,0.6782696946699375,1.0008946163726002,4371,763,,0.03226389983781387,0.017739879783920002,0.018793258887925345
hemoglobin,0.9442066000661209,1.0014855879845397,4371,763,,0.04491397361570242,0.02438307951869933,0.03595875094521707
hba1c,-1.1218386404550051,0.9981075975193565,4367,762,,0.0,0.06430309730574459,0.0
glucose_fasting,-0.11647709832260718,0.9997115491236467,2105,366,,0.0,0.06265897414039417,0.0
total_chol,-2.4270597702627277,0.995168849047568,4346,753,,0.0,0.05513421784330569,0.0
hdl,-3.7293284940228397,0.9920441673071119,4346,753,,0.0,0.011764994141804366,0.0
triglycerides,-0.9103091041598184,0.9977930813855121,2084,360,,0.0,0.0131771197835508,0.0
systolic_bp,0.5814356999346976,1.0008772773440013,4386,757,,0.027657705087282512,0.0815455936131863,0.07405445723517677
pulse_pressure,0.10135818894867273,1.0002331404163174,4364,747,,0.004821401400771052,0.25246798649363744,0.03996816130125304
waist,-1.090632917693624,0.9978922534993085,4392,713,,0.0,0.023579008076506255,0.0
