,z,hr,n,events,note,weight,precision,final_weight
mean_cpm,6.657193524493129,1.0178975308862555,2990,556,,0.18079529078626952,0.22971715763789133,0.2696859574283658
mvpa_min,7.590492005088069,1.0215987121487908,2990,556,,0.2061417028394467,0.17492611770505323,0.23415223200982735
sedentary_frac,3.9962896711892544,1.0098204671646338,2990,556,,0.1085307720904565,0.10587835044677275,0.0746170103395169
activity_cv,1.9160428321663479,1.003999652767055,2990,556,,0.05203566934413817,0.021253310667365327,0.007181340532099755
m10,6.913422514284381,1.0176761431641645,2990,556,,0.187753928017821,0.18449900439973219,0.2249369716106206
l5,3.8135028268534414,1.0102421558800727,2990,556,,0.10356666814004384,0.21542051611874324,0.1448721321783305
relative_amplitude,-5.72911529110438,0.9880160421606453,2990,556,,0.0,0.010949283791396239,0.0
intradaily_variability,-2.900081074016306,0.9906542192226472,2990,556,,0.0,0.0030780265922998483,0.0
interdaily_stability,0.5581509259715676,1.001068175582584,2990,556,,0.015158198209558344,0.008132321461311789,0.0008004604971407528
activity_bout_frag,5.376625422526972,1.0124228174500403,2990,556,,0.1460177705722661,0.04614591117943392,0.04375389540409834
