ID_REF,decelerated_age62
cg00036119,0.44254
cg00079056,0.87095
cg00083937,0.58825
cg00102512,0.90994
cg00113951,0.07906
cg00126959,0.0318
cg00161556,0.56354
cg00168942,0.59115
cg00194146,0.18337
cg00230271,0.0661
cg00252095,0.87816
cg00261781,0.00995
cg00277397,0.66454
cg00297600,0.67778
cg00332048,0.53168
cg00335286,0.66177
cg00338702,0.21466
cg00350702,0.05952
cg00356999,0.88075
cg00398048,0.392
cg00410898,0.0551
cg00412772,0.49176
cg00412805,0.85645
cg00412842,0.1771
cg00417288,0.9225
cg00417823,0.80361
cg00456299,0.12629
cg00462994,0.1756
cg00480331,0.09063
cg00481951,0.27139
cg00497251,0.1221
cg00500789,0.90228
cg00503840,0.25318
cg00515905,0.88467
cg00534468,0.75594
cg00543335,0.88361
cg00554421,0.51115
cg00558975,0.8099
cg00564555,0.68969
cg00574958,0.09508
cg00582628,0.51853
cg00684178,0.81011
cg00684824,0.28102
cg00687674,0.33681
cg00695391,0.32297
cg00695799,0.18097
cg00706683,0.61856
cg00744433,0.91469
cg00844308,0.36369
cg00845900,0.86184
cg00862290,0.5623
cg00870265,0.01687
cg00892703,0.74072
cg00907204,0.11121
cg00935435,0.79203
cg00936722,0.82335
cg00943950,0.07465
cg00955230,0.07551
cg00959259,0.64425
cg00970752,0.55812
cg00994306,0.06754
cg01021485,0.0425
cg01026009,0.42449
cg01029867,0.06093
cg01031441,0.2954
cg01056568,0.61054
cg01057893,0.91973
cg01070197,0.90795
cg01096266,0.58672
cg01114088,0.10236
cg01127300,0.49558
cg01128603,0.13555
cg01130056,0.85202
cg01130991,0.78396
cg01131735,0.03954
cg01137065,0.06268
cg01163330,0.91028
cg01187498,0.92189
cg01206872,0.53669
cg01211097,0.42783
cg01221637,0.07572
cg01252496,0.42614
cg01254459,0.06836
cg01256539,0.57891
cg01261503,0.09393
cg01308343,0.58684
cg01328703,0.89905
cg01335367,0.13103
cg01337813,0.15601
cg01355108,0.18939
cg01365152,0.92325
cg01391867,0.01101
cg01400401,0.11229
cg01412762,0.308
cg01431830,0.86514
cg01438090,0.70813
cg01441777,0.39605
cg01450842,0.89444
cg01459453,0.73949
cg01491219,0.09356
cg01508796,0.06191
cg01511567,0.19462
cg01517384,0.30609
cg01518025,0.87009
cg01519742,0.1254
cg01562537,0.86931
cg01603456,0.82084
cg01623187,0.90303
cg01624571,0.87235
cg01626227,0.09577
cg01635346,0.32418
cg01637125,0.79848
cg01638369,0.14632
cg01641177,0.26408
cg01651821,0.05532
cg01658265,0.07556
cg01687878,0.5295
cg01702009,0.79005
cg01704252,0.70133
cg01708387,0.75626
cg01753176,0.869
cg01773760,0.09856
cg01802397,0.05223
cg01817885,0.88986
cg01823956,0.0257
cg01829657,0.83688
cg01873886,0.10919
cg01883195,0.63073
cg01885071,0.06246
cg01909777,0.87869
cg01918706,0.0223
cg01930621,0.06513
cg01936220,0.18331
cg01939962,0.91628
cg01940273,0.59937
cg01946401,0.43732
cg01956624,0.01249
cg01960979,0.88318
cg01975858,0.88197
cg02016419,0.39258
cg02019988,0.28256
cg02027561,0.73841
cg02066343,0.72022
cg02071305,0.30363
cg02081065,0.92548
cg02089135,0.06981
cg02115397,0.91717
cg02135821,0.9094
cg02150207,0.95399
cg02151301,0.32214
cg02154074,0.18601
cg02189786,0.00438
cg02193806,0.75323
cg02197293,0.31143
cg02220125,0.58878
cg02228185,0.77365
cg02229946,0.80554
cg02272457,0.93952
cg02291424,0.05399
cg02295856,0.83838
cg02309431,0.8456
cg02356786,0.30712
cg02373784,0.1791
cg02395454,0.51476
cg02415341,0.70104
cg02480835,0.01659
cg02483931,0.35725
cg02503970,0.06709
cg02505126,0.00073
cg02514143,0.90237
cg02515033,0.99649
cg02580250,0.57578
cg02580722,0.04582
cg02591356,0.25992
cg02613108,0.38314
cg02627240,0.84028
cg02631957,0.12509
cg02633924,0.06898
cg02713068,0.08972
cg02716826,0.34281
cg02735486,0.70513
cg02767242,0.27713
cg02780017,0.20716
cg02782857,0.86132
cg02802055,0.03206
cg02817030,0.11687
cg02831419,0.90332
cg02853801,0.10319
cg02875404,0.80258
cg02880119,0.58502
cg02922734,0.88805
cg02925268,0.89934
cg02931526,0.89362
cg02970861,0.06484
cg02974659,0.73326
cg02976574,0.87387
cg02991799,0.0025
cg03007010,0.04678
cg03072681,0.55661
cg03096347,0.57255
cg03098356,0.00316
cg03110633,0.00242
cg03112631,0.06529
cg03112869,0.89806
cg03153178,0.04356
cg03172657,0.35507
cg03172991,0.49228
cg03258472,0.50088
cg03259703,0.7508
cg03274876,0.03124
cg03276920,0.8837
cg03294557,0.64111
cg03322338,0.43274
cg03340261,0.04421
cg03345668,0.61174
cg03358468,0.92302
cg03387497,0.84104
cg03393241,0.87416
cg03394401,0.08314
cg03400403,0.96703
cg03415429,0.0151
cg03424844,0.72291
cg03443360,0.49522
cg03460603,0.85666
cg03473532,0.7073
cg03494277,0.88911
cg03522107,0.30818
cg03524223,0.0542
cg03535648,0.96494
cg03546163,0.56749
cg03565081,0.2873
cg03568017,0.10096
cg03574306,0.78596
cg03604011,0.05827
cg03623878,0.10195
cg03634479,0.12431
cg03636183,0.67419
cg03699074,0.18787
cg03703325,0.07896
cg03706056,0.48453
cg03707967,0.66138
cg03714531,0.07633
cg03724882,0.07939
cg03730314,0.52464
cg03739265,0.91598
cg03760035,0.99147
cg03764506,0.04389
cg03807873,0.7943
cg03819692,0.78913
cg03827386,0.86636
cg03840504,0.11145
cg03860256,0.36363
cg03900798,0.89966
cg03900851,0.01584
cg03913456,0.36481
cg03929796,0.21944
cg03950121,0.78096
cg03955530,0.75412
cg03974717,0.04836
cg03977782,0.0447
cg03991512,0.41182
cg03997502,0.79874
cg04007936,0.92598
cg04014889,0.81059
cg04018738,0.83918
cg04053045,0.07412
cg04084157,0.17005
cg04087608,0.85617
cg04120520,0.84302
cg04135242,0.91458
cg04169469,0.16039
cg04196119,0.41996
cg04243822,0.87289
cg04254609,0.04353
cg04265051,0.56249
cg04323814,0.51782
cg04333463,0.00754
cg04344923,0.89547
cg04359302,0.65403
cg04379563,0.90629
cg04416752,0.06817
cg04424621,0.10945
cg04431596,0.90632
cg04480914,0.07786
cg04528819,0.17577
cg04588969,0.96924
cg04599158,0.84729
cg04601137,0.36474
cg04607246,0.8791
cg04616566,0.88064
cg04634427,0.71881
cg04659537,0.63843
cg04661709,0.70174
cg04718414,0.03831
cg04736140,0.04246
cg04745805,0.07304
cg04748223,0.63961
cg04755031,0.12552
cg04764584,0.58616
cg04785972,0.27507
cg04818845,0.62056
cg04832325,0.754
cg04836038,0.16928
cg04836987,0.90089
cg04946715,0.05388
cg04967775,0.06683
cg04974804,0.83131
cg04976151,0.33699
cg04987004,0.90287
cg05021075,0.52947
cg05065162,0.88863
cg05078817,0.88823
cg05087948,0.07949
cg05089968,0.87487
cg05090127,0.1212
cg05125838,0.32764
cg05144928,0.36107
cg05174890,0.12978
cg05180206,0.86822
cg05182912,0.86854
cg05218245,0.79296
cg05228408,0.35101
cg05241355,0.18379
cg05270634,0.04817
cg05276137,0.08015
cg05294243,0.26497
cg05303999,0.89215
cg05308744,0.99353
cg05313771,0.07985
cg05316065,0.56174
cg05420896,0.13437
cg05422352,0.38514
cg05425050,0.03742
cg05440289,0.79306
cg05441133,0.89534
cg05442902,0.26589
cg05461666,0.86562
cg05466385,0.90017
cg05473871,0.18484
cg05492270,0.01991
cg05495454,0.91926
cg05501584,0.2846
cg05515143,0.95935
cg05532892,0.05292
cg05575505,0.39605
cg05575921,0.82595
cg05590616,0.05088
cg05604079,0.23694
cg05613002,0.03692
cg05638439,0.47937
cg05661164,0.91772
cg05697249,0.66467
cg05710301,0.88059
cg05732130,0.04059
cg05737638,0.83681
cg05747812,0.8779
cg05759269,0.06059
cg05782444,0.86457
cg05815247,0.79847
cg05817517,0.04942
cg05839709,0.72574
cg05845376,0.86926
cg05851163,0.0624
cg05890887,0.00387
cg05898102,0.16587
cg05971102,0.94792
cg05993589,0.84953
cg05995267,0.09207
cg05996213,0.46902
cg06022832,0.87238
cg06051159,0.7248
cg06127256,0.99683
cg06133392,0.79522
cg06134964,0.5597
cg06144905,0.2493
cg06147196,0.75895
cg06171242,0.04398
cg06176987,0.95184
cg06189653,0.07722
cg06213463,0.0098
cg06259664,0.90159
cg06266189,0.57918
cg06295856,0.22982
cg06327515,0.22859
cg06349851,0.92119
cg06363129,0.69127
cg06372850,0.28582
cg06413272,0.79416
cg06418475,0.32669
cg06419850,0.0446
cg06439736,0.87284
cg06440348,0.86075
cg06493994,0.24603
cg06500161,0.5855
cg06513864,0.02129
cg06533629,0.12313
cg06560379,0.1105
cg06563451,0.1165
cg06625640,0.58126
cg06637774,0.47186
cg06638451,0.6148
cg06644428,0.15696
cg06649410,0.25578
cg06690548,0.84973
cg06705834,0.10155
cg06722193,0.20405
cg06752157,0.9044
cg06806711,0.43342
cg06809285,0.87821
cg06809342,0.79483
cg06813250,0.89569
cg06841024,0.05589
cg06854487,0.08991
cg06901711,0.55547
cg06903325,0.93282
cg06908778,0.20253
cg06911753,0.99297
cg06912355,0.86645
cg06946797,0.2242
cg06958034,0.0864
cg06959205,0.53977
cg06975311,0.21335
cg06975499,0.0703
cg06994793,0.04911
cg07017437,0.83896
cg07025011,0.53623
cg07031797,0.06196
cg07038400,0.62181
cg07039560,0.69768
cg07073964,0.55557
cg07105440,0.06554
cg07113802,0.35125
cg07120314,0.00374
cg07127225,0.07783
cg07180649,0.19293
cg07205627,0.3912
cg07211259,0.1595
cg07236943,0.06892
cg07258300,0.92639
cg07265300,0.03412
cg07268726,0.8266
cg07284273,0.18122
cg07338119,0.90767
cg07412232,0.88013
cg07477034,0.23629
cg07484827,0.87949
cg07494518,0.09811
cg07520608,0.17844
cg07529654,0.5455
cg07539443,0.7538
cg07543883,0.62108
cg07553761,0.26397
cg07573872,0.63688
cg07582047,0.03839
cg07592681,0.83488
cg07631435,0.5513
cg07654934,0.0838
cg07660627,0.75268
cg07665217,0.46416
cg07677157,0.21715
cg07690734,0.97663
cg07733920,0.76443
cg07793207,0.2088
cg07817698,0.04991
cg07839457,0.51902
cg07842062,0.69277
cg07850604,0.10925
cg07871532,0.75679
cg07927953,0.95903
cg07929310,0.10573
cg07951602,0.82512
cg07973162,0.03788
cg07984286,0.2862
cg08007899,0.13923
cg08035942,0.10309
cg08055490,0.87722
cg08067365,0.0632
cg08074477,0.56564
cg08074820,0.11477
cg08110610,0.84365
cg08122652,0.78886
cg08138571,0.04986
cg08140104,0.8643
cg08161922,0.09712
cg08169325,0.06598
cg08202754,0.29483
cg08212685,0.15678
cg08251399,0.66733
cg08260658,0.09535
cg08284371,0.13537
cg08331960,0.3461
cg08334432,0.92375
cg08373528,0.88315
cg08405844,0.03584
cg08410533,0.54837
cg08424423,0.8097
cg08439518,0.45541
cg08475827,0.18979
cg08487374,0.05243
cg08529529,0.13635
cg08548559,0.25467
cg08549335,0.2269
cg08586737,0.4199
cg08587542,0.17085
cg08614871,0.50515
cg08645207,0.88785
cg08654655,0.5112
cg08659340,0.89487
cg08667899,0.02954
cg08668790,0.13273
cg08694544,0.14367
cg08695830,0.11062
cg08706141,0.92392
cg08832227,0.50097
cg08871545,0.25447
cg08872493,0.6884
cg08877853,0.90945
cg08896629,0.03686
cg08899632,0.03962
cg08900043,0.16831
cg08923669,0.53193
cg08926056,0.11903
cg08980304,0.73524
cg09000779,0.47875
cg09045681,0.08512
cg09051966,0.50732
cg09096950,0.35195
cg09144073,0.07805
cg09159795,0.07639
cg09194449,0.20359
cg09196959,0.12506
cg09219182,0.4497
cg09225388,0.31054
cg09244872,0.60413
cg09254939,0.10746
cg09279803,0.91473
cg09294589,0.1008
cg09304040,0.08621
cg09315887,0.22608
cg09319676,0.87434
cg09322949,0.03844
cg09351263,0.59073
cg09396704,0.30794
cg09404633,0.25339
cg09413557,0.05451
cg09434995,0.80684
cg09438320,0.82288
cg09480837,0.71727
cg09522532,0.43585
cg09548179,0.07652
cg09556292,0.09931
cg09566331,0.80919
cg09578605,0.83554
cg09584650,0.11391
cg09608412,0.94351
cg09630437,0.09498
cg09690118,0.74239
cg09799873,0.27126
cg09809672,0.45894
cg09826306,0.08438
cg09834822,0.87216
cg09845806,0.61802
cg09851465,0.26786
cg09884076,0.10836
cg09892203,0.01599
cg09899215,0.47971
cg09915601,0.79293
cg09920725,0.03617
cg09971184,0.89674
cg10000096,0.84696
cg10052840,0.53858
cg10068417,0.23904
cg10116490,0.32264
cg10119082,0.20463
cg10120040,0.86627
cg10130564,0.82107
cg10143960,0.31641
cg10144483,0.25083
cg10158181,0.05401
cg10169261,0.00909
cg10177080,0.84231
cg10189661,0.67299
cg10202457,0.16875
cg10202557,0.52
cg10224107,0.1163
cg10225525,0.91526
cg10323552,0.14459
cg10327168,0.8658
cg10354495,0.8887
cg10407935,0.99051
cg10431713,0.14456
cg10439456,0.42293
cg10508317,0.12938
cg10511249,0.01124
cg10523019,0.17128
cg10530344,0.71961
cg10531748,0.11392
cg10535933,0.03593
cg10549018,0.46536
cg10570177,0.19863
cg10578779,0.04734
cg10584300,0.94
cg10585941,0.58014
cg10591174,0.48061
cg10636246,0.26039
cg10654016,0.01179
cg10667970,0.06826
cg10669058,0.57244
cg10677351,0.88446
cg10701033,0.82539
cg10747042,0.02244
cg10753966,0.60861
cg10795646,0.21375
cg10853231,0.33637
cg10878896,0.0763
cg10900550,0.12254
cg10917602,0.56495
cg10920224,0.5023
cg10922280,0.42594
cg10940833,0.05781
cg10948795,0.76581
cg11019008,0.94989
cg11020638,0.84891
cg11043909,0.06512
cg11058730,0.00339
cg11074353,0.91357
cg11086127,0.81295
cg11177450,0.06944
cg11207515,0.34104
cg11233384,0.28853
cg11235787,0.7594
cg11237115,0.04773
cg11287647,0.70143
cg11295183,0.89921
cg11299854,0.07973
cg11333189,0.11582
cg11336382,0.57702
cg11426590,0.05398
cg11444009,0.33271
cg11459714,0.01123
cg11487705,0.05268
cg11490446,0.06226
cg11507178,0.15055
cg11539695,0.867
cg11554391,0.20286
cg11569478,0.857
cg11594160,0.91213
cg11600161,0.07668
cg11605750,0.87705
cg11618577,0.53767
cg11631518,0.07029
cg11660018,0.53215
cg11764442,0.88735
cg11781622,0.8761
cg11782409,0.83455
cg11833861,0.09144
cg11850311,0.02752
cg11867651,0.10465
cg11896923,0.18192
cg11903057,0.05127
cg11923914,0.92649
cg11932091,0.86443
cg12020464,0.81269
cg12035880,0.63812
cg12051762,0.74928
cg12054453,0.22151
cg12067764,0.47096
cg12112556,0.82682
cg12145907,0.14533
cg12155356,0.08156
cg12157673,0.37939
cg12165215,0.41683
cg12177001,0.81899
cg12188560,0.10165
cg12211040,0.91442
cg12238343,0.14014
cg12247247,0.09318
cg12261786,0.66411
cg12265604,0.09609
cg12269343,0.06007
cg12289045,0.61281
cg12298697,0.49634
cg12324144,0.15873
cg12325588,0.00238
cg12329405,0.0
cg12363682,0.21716
cg12373771,0.21101
cg12379046,0.90464
cg12384004,0.46777
cg12386614,0.50101
cg12396523,0.08019
cg12402251,0.10271
cg12458003,0.68644
cg12465010,0.8946
cg12473775,0.8041
cg12473849,0.78426
cg12483947,0.29378
cg12486944,0.82225
cg12511214,0.11024
cg12516875,0.7086
cg12599971,0.40231
cg12605080,0.72751
cg12612118,0.05889
cg12683410,0.87338
cg12716346,0.8436
cg12743894,0.05953
cg12791136,0.6951
cg12813792,0.66971
cg12831076,0.79327
cg12846567,0.864
cg12864235,0.84588
cg12893697,0.29922
cg12918464,0.86123
cg12927358,0.04218
cg12977946,0.78531
cg12980795,0.60085
cg12985418,0.05408
cg12988996,0.08509
cg12991365,0.33586
cg12991522,0.07138
cg13001142,0.62038
cg13029847,0.11466
cg13042288,0.88754
cg13077366,0.19044
cg13092901,0.14719
cg13119609,0.61296
cg13120519,0.06955
cg13155421,0.84911
cg13180152,0.87674
cg13218906,0.06474
cg13258700,0.2002
cg13287247,0.65799
cg13296371,0.28843
cg13307384,0.6885
cg13309828,0.47567
cg13316619,0.81089
cg13323474,0.04106
cg13351161,0.44141
cg13371627,0.90944
cg13398470,0.22352
cg13406893,0.96233
cg13409216,0.05364
cg13428009,0.08096
cg13446658,0.05292
cg13449372,0.91194
cg13457961,0.0291
cg13458005,0.87179
cg13460409,0.33856
cg13499318,0.41086
cg13509147,0.1291
cg13510262,0.06889
cg13514050,0.04943
cg13518625,0.10329
cg13543355,0.17502
cg13550401,0.18271
cg13550877,0.90841
cg13564075,0.03841
cg13565994,0.86289
cg13571802,0.88045
cg13574848,0.8734
cg13587552,0.79216
cg13589330,0.02647
cg13603203,0.90624
cg13606988,0.88648
cg13611456,0.77907
cg13613532,0.06538
cg13620770,0.1047
cg13631913,0.06122
cg13634681,0.82114
cg13649020,0.8633
cg13649864,0.71293
cg13650654,0.75443
cg13654195,0.15465
cg13656062,0.8381
cg13656360,0.071
cg13657511,0.92731
cg13667243,0.6432
cg13673536,0.74066
cg13678787,0.90899
cg13700897,0.13393
cg13718960,0.85828
cg13724379,0.01374
cg13728106,0.89489
cg13772414,0.39435
cg13842421,0.84674
cg13843773,0.0361
cg13854874,0.19971
cg13861644,0.77105
cg13873209,0.77518
cg13875901,0.14858
cg13898384,0.8442
cg13899108,0.56866
cg13915886,0.81236
cg13917964,0.12192
cg13947317,0.89807
cg13975369,0.3371
cg13990487,0.86175
cg13994175,0.06698
cg14009688,0.54062
cg14084907,0.18943
cg14088844,0.85129
cg14105047,0.08089
cg14153919,0.68473
cg14159818,0.1443
cg14175438,0.1658
cg14223995,0.22522
cg14234805,0.00744
cg14260002,0.89796
cg14268714,0.86533
cg14281160,0.07189
cg14350002,0.09878
cg14355192,0.07022
cg14371731,0.03898
cg14387545,0.0041
cg14423778,0.28909
cg14457452,0.92049
cg14467840,0.74803
cg14473016,0.13727
cg14476101,0.62416
cg14508358,0.37665
cg14508777,0.7752
cg14528319,0.89279
cg14528537,0.06955
cg14543641,0.7168
cg14545159,0.92646
cg14550518,0.06805
cg14592365,0.50943
cg14626196,0.922
cg14652203,0.83515
cg14689355,0.11716
cg14700531,0.62972
cg14709691,0.04253
cg14716323,0.89462
cg14747225,0.00893
cg14754581,0.07744
cg14825555,0.42537
cg14868212,0.30986
cg14870958,0.901
cg14889658,0.73618
cg14916213,0.0876
cg14918082,0.7487
cg14924781,0.83131
cg14928764,0.77794
cg14955976,0.4467
cg14972143,0.29519
cg14984434,0.90813
cg15001547,0.78323
cg15011409,0.44702
cg15012625,0.6021
cg15013019,0.16203
cg15016740,0.89129
cg15089567,0.83013
cg15171237,0.8942
cg15174951,0.04419
cg15201877,0.23637
cg15211499,0.00051
cg15228492,0.84952
cg15258649,0.92989
cg15290848,0.74239
cg15344028,0.57862
cg15355146,0.24637
cg15381313,0.8242
cg15410835,0.49408
cg15427448,0.02863
cg15447479,0.09496
cg15471661,0.83782
cg15489301,0.48191
cg15498283,0.09158
cg15551881,0.2072
cg15569512,0.05151
cg15573979,0.05553
cg15600935,0.94802
cg15611364,0.04127
cg15631106,0.92293
cg15642326,0.24633
cg15651727,0.63857
cg15658426,0.40387
cg15679283,0.96289
cg15705999,0.31591
cg15709989,0.3567
cg15777014,0.70064
cg15777335,0.95703
cg15783941,0.87106
cg15808795,0.91079
cg15811427,0.80846
cg15815084,0.67943
cg15822010,0.988
cg15845365,0.60571
cg15849439,0.89235
cg15856055,0.13639
cg15860924,0.91096
cg15876825,0.97116
cg15881088,0.09567
cg15887846,0.47562
cg15903282,0.69965
cg15947697,0.22819
cg15963417,0.03774
cg15966757,0.91143
cg15988937,0.8262
cg15997315,0.84298
cg16067628,0.82272
cg16085042,0.08219
cg16173067,0.85939
cg16188984,0.57631
cg16246188,0.88764
cg16252995,0.87478
cg16274199,0.01741
cg16295988,0.10094
cg16305333,0.13543
cg16313343,0.17069
cg16319578,0.17591
cg16340918,0.04033
cg16354207,0.1893
cg16357381,0.13057
cg16372520,0.46565
cg16383389,0.02848
cg16385335,0.61366
cg16400903,0.01182
cg16408970,0.09629
cg16416603,0.86306
cg16466334,0.88528
cg16511983,0.60701
cg16543027,0.11796
cg16558846,0.63644
cg16569347,0.87581
cg16612562,0.52612
cg16648841,0.78595
cg16649728,0.81539
cg16665506,0.92852
cg16700924,0.03846
cg16704703,0.53628
cg16708495,0.84498
cg16713727,0.85434
cg16718891,0.10148
cg16728114,0.10484
cg16730765,0.92541
cg16743289,0.47116
cg16816226,0.06708
cg16821867,0.92491
cg16847637,0.9355
cg16854606,0.59491
cg16887334,0.68908
cg16928551,0.83928
cg16933388,0.2441
cg16978914,0.14909
cg16982073,0.81607
cg16983817,0.00648
cg16984944,0.19894
cg17009433,0.12183
cg17025841,0.79473
cg17038116,0.03669
cg17058475,0.09143
cg17096289,0.65311
cg17100770,0.89342
cg17116694,0.93178
cg17117459,0.07254
cg17129388,0.72536
cg17133388,0.12392
cg17133967,0.02244
cg17177219,0.01023
cg17215151,0.89792
cg17220237,0.80276
cg17255947,0.05161
cg17262492,0.83007
cg17286012,0.66617
cg17287155,0.92557
cg17310258,0.58598
cg17324128,0.16648
cg17382302,0.59509
cg17431739,0.27911
cg17440248,0.7792
cg17500754,0.09647
cg17501210,0.71602
cg17526300,0.02996
cg17533522,0.38488
cg17536848,0.07934
cg17543884,0.36933
cg17560136,0.71446
cg17561365,0.83877
cg17591574,0.88099
cg17598713,0.03384
cg17605084,0.06884
cg17627559,0.15647
cg17639894,0.00373
cg17641104,0.10073
cg17676631,0.31907
cg17719473,0.91177
cg17726022,0.04495
cg17744279,0.80726
cg17747265,0.41662
cg17749443,0.1008
cg17758363,0.52283
cg17770886,0.13048
cg17803430,0.86436
cg17850642,0.66654
cg17861230,0.27667
cg17886420,0.7943
cg17894318,0.26377
cg17896249,0.05488
cg17903544,0.04708
cg17923358,0.2059
cg17940013,0.2163
cg17966192,0.21239
cg17981101,0.87688
cg18001427,0.27615
cg18003795,0.84397
cg18098839,0.12801
cg18116267,0.94518
cg18117393,0.92316
cg18148156,0.77375
cg18159533,0.95108
cg18181703,0.42405
cg18234973,0.93439
cg18241647,0.84247
cg18267374,0.14696
cg18278247,0.08692
cg18331061,0.9009
cg18345924,0.52294
cg18376497,0.2254
cg18384097,0.1109
cg18388639,0.03152
cg18392482,0.67837
cg18394552,0.59246
cg18405719,0.42655
cg18425651,0.93391
cg18468844,0.74139
cg18569704,0.02127
cg18584747,0.04411
cg18587364,0.14736
cg18593194,0.45703
cg18607491,0.03007
cg18638931,0.59512
cg18691434,0.20525
cg18693704,0.17725
cg18718984,0.82746
cg18732541,0.06324
cg18771300,0.80893
cg18809289,0.18439
cg18853287,0.87623
cg18881501,0.31693
cg18886347,0.45192
cg18892128,0.02972
cg18951537,0.90109
cg18995788,0.79512
cg18996776,0.06927
cg19008809,0.07689
cg19012696,0.81436
cg19028160,0.10049
cg19033875,0.05556
cg19061798,0.82322
cg19076659,0.69334
cg19080320,0.90473
cg19083871,0.02677
cg19104072,0.10106
cg19149785,0.5325
cg19174059,0.83813
cg19196326,0.73414
cg19253577,0.64827
cg19283806,0.2038
cg19287114,0.05447
cg19297232,0.62094
cg19328485,0.79766
cg19345165,0.00627
cg19356189,0.35363
cg19371795,0.42264
cg19378133,0.20595
cg19389001,0.02757
cg19393314,0.8169
cg19398783,0.06344
cg19414383,0.51572
cg19439331,0.08566
cg19459791,0.75294
cg19471466,0.46756
cg19491388,0.88881
cg19501902,0.73821
cg19510604,0.88604
cg19514469,0.62402
cg19556572,0.80533
cg19560210,0.89628
cg19566405,0.19613
cg19570545,0.05294
cg19573166,0.44784
cg19586576,0.17714
cg19601991,0.00251
cg19615059,0.21741
cg19617213,0.01422
cg19632206,0.12407
cg19647685,0.89045
cg19663795,0.0843
cg19685066,0.83193
cg19686152,0.60146
cg19693031,0.59979
cg19694465,0.81591
cg19717326,0.76135
cg19719391,0.57607
cg19722847,0.1627
cg19724470,0.19913
cg19731122,0.46132
cg19761014,0.06234
cg19778944,0.00678
cg19783150,0.90421
cg19795482,0.03093
cg19802390,0.49198
cg19859270,0.86901
cg19883905,0.13972
cg19935065,0.64107
cg19987111,0.86903
cg20066677,0.89544
cg20090497,0.85469
cg20150163,0.0
