ID_REF,accelerated_age69
cg00036119,0.29905
cg00079056,0.85274
cg00083937,0.58418
cg00102512,0.90773
cg00113951,0.09518
cg00126959,0.06693
cg00161556,0.51045
cg00168942,0.53614
cg00194146,0.17788
cg00230271,0.04384
cg00252095,0.88342
cg00261781,0.02854
cg00277397,0.58661
cg00297600,0.67911
cg00332048,0.48177
cg00335286,0.60993
cg00338702,0.18996
cg00350702,0.04893
cg00356999,0.85502
cg00398048,0.23444
cg00410898,0.08381
cg00412772,0.51384
cg00412805,0.88822
cg00412842,0.15606
cg00417288,0.90488
cg00417823,0.80208
cg00456299,0.1136
cg00462994,0.16046
cg00480331,0.09367
cg00481951,0.26661
cg00497251,0.13101
cg00500789,0.94991
cg00503840,0.26431
cg00515905,0.86296
cg00534468,0.76683
cg00543335,0.87699
cg00554421,0.43679
cg00558975,0.87206
cg00564555,0.63379
cg00574958,0.08095
cg00582628,0.47045
cg00684178,0.80579
cg00684824,0.369
cg00687674,0.4
cg00695391,0.24901
cg00695799,0.15352
cg00706683,0.65662
cg00744433,0.85019
cg00844308,0.34406
cg00845900,0.89593
cg00862290,0.76824
cg00870265,0.01659
cg00892703,0.65749
cg00907204,0.07129
cg00935435,0.76938
cg00936722,0.86063
cg00943950,0.07255
cg00955230,0.07338
cg00959259,0.56045
cg00970752,0.65124
cg00994306,0.07914
cg01021485,0.04704
cg01026009,0.36024
cg01029867,0.05971
cg01031441,0.30761
cg01056568,0.61678
cg01057893,0.9379
cg01070197,0.94369
cg01096266,0.56275
cg01114088,0.11606
cg01127300,0.48623
cg01128603,0.13334
cg01130056,0.87689
cg01130991,0.7792
cg01131735,0.05856
cg01137065,0.03363
cg01163330,0.93935
cg01187498,0.91683
cg01206872,0.52691
cg01211097,0.37895
cg01221637,0.06832
cg01252496,0.44494
cg01254459,0.05076
cg01256539,0.65104
cg01261503,0.06897
cg01308343,0.57949
cg01328703,0.93433
cg01335367,0.12058
cg01337813,0.11909
cg01355108,0.30188
cg01365152,0.93
cg01391867,0.0053
cg01400401,0.12874
cg01412762,0.24082
cg01431830,0.87783
cg01438090,0.58283
cg01441777,0.37127
cg01450842,0.91591
cg01459453,0.53386
cg01491219,0.07016
cg01508796,0.06839
cg01511567,0.20837
cg01517384,0.4148
cg01518025,0.87795
cg01519742,0.10874
cg01562537,0.89656
cg01603456,0.76218
cg01623187,0.90259
cg01624571,0.83151
cg01626227,0.06344
cg01635346,0.40342
cg01637125,0.73104
cg01638369,0.12105
cg01641177,0.17763
cg01651821,0.04298
cg01658265,0.08332
cg01687878,0.53441
cg01702009,0.8128
cg01704252,0.69579
cg01708387,0.77433
cg01753176,0.87611
cg01773760,0.09541
cg01802397,0.03233
cg01817885,0.91082
cg01823956,0.02032
cg01829657,0.86519
cg01873886,0.25429
cg01883195,0.55279
cg01885071,0.07211
cg01909777,0.86701
cg01918706,0.03213
cg01930621,0.04221
cg01936220,0.255
cg01939962,0.92084
cg01940273,0.46128
cg01946401,0.49996
cg01956624,0.00843
cg01960979,0.84801
cg01975858,0.91116
cg02016419,0.44839
cg02019988,0.20326
cg02027561,0.6147
cg02066343,0.74367
cg02071305,0.27375
cg02081065,0.93533
cg02089135,0.05944
cg02115397,0.94248
cg02135821,0.92281
cg02150207,0.96443
