ID_REF,ontrack_age59
cg00036119,0.44151
cg00079056,0.86106
cg00083937,0.52047
cg00102512,0.88601
cg00113951,0.07739
cg00126959,0.01565
cg00161556,0.48533
cg00168942,0.47656
cg00194146,0.1618
cg00230271,0.04645
cg00252095,0.85566
cg00261781,0.03175
cg00277397,0.7008
cg00297600,0.72731
cg00332048,0.49788
cg00335286,0.73555
cg00338702,0.1411
cg00350702,0.06432
cg00356999,0.89548
cg00398048,0.27926
cg00410898,0.05718
cg00412772,0.45649
cg00412805,0.81122
cg00412842,0.12394
cg00417288,0.8961
cg00417823,0.73217
cg00456299,0.12074
cg00462994,0.16737
cg00480331,0.08999
cg00481951,0.20885
cg00497251,0.12858
cg00500789,0.91304
cg00503840,0.22549
cg00515905,0.8586
cg00534468,0.75515
cg00543335,0.8484
cg00554421,0.51454
cg00558975,0.85955
cg00564555,0.67077
cg00574958,0.07082
cg00582628,0.53931
cg00684178,0.80619
cg00684824,0.2064
cg00687674,0.36654
cg00695391,0.26725
cg00695799,0.12594
cg00706683,0.6347
cg00744433,0.88578
cg00844308,0.2972
cg00845900,0.92198
cg00862290,0.72233
cg00870265,0.01147
cg00892703,0.50597
cg00907204,0.0893
cg00935435,0.80503
cg00936722,0.82687
cg00943950,0.06368
cg00955230,0.06663
cg00959259,0.62658
cg00970752,0.48162
cg00994306,0.07009
cg01021485,0.04999
cg01026009,0.48582
cg01029867,0.05834
cg01031441,0.22525
cg01056568,0.55142
cg01057893,0.93148
cg01070197,0.94341
cg01096266,0.50226
cg01114088,0.09951
cg01127300,0.40402
cg01128603,0.11656
cg01130056,0.90859
cg01130991,0.72756
cg01131735,0.05063
cg01137065,0.04263
cg01163330,0.91558
cg01187498,0.93583
cg01206872,0.52695
cg01211097,0.36458
cg01221637,0.08771
cg01252496,0.43741
cg01254459,0.05513
cg01256539,0.60697
cg01261503,0.0783
cg01308343,0.55909
cg01328703,0.91944
cg01335367,0.09524
cg01337813,0.14802
cg01355108,0.39923
cg01365152,0.92312
cg01391867,0.00322
cg01400401,0.09793
cg01412762,0.37206
cg01431830,0.90551
cg01438090,0.6232
cg01441777,0.34537
cg01450842,0.90685
cg01459453,0.65617
cg01491219,0.05776
cg01508796,0.06478
cg01511567,0.17261
cg01517384,0.42118
cg01518025,0.846
cg01519742,0.1787
cg01562537,0.79305
cg01603456,0.75427
cg01623187,0.94309
cg01624571,0.86843
cg01626227,0.09605
cg01635346,0.31481
cg01637125,0.85015
cg01638369,0.11947
cg01641177,0.14726
cg01651821,0.04039
cg01658265,0.07259
cg01687878,0.53326
cg01702009,0.80172
cg01704252,0.64268
cg01708387,0.75768
cg01753176,0.84775
cg01773760,0.09936
cg01802397,0.03264
cg01817885,0.9151
cg01823956,0.04458
cg01829657,0.8529
cg01873886,0.21277
cg01883195,0.46582
cg01885071,0.08299
cg01909777,0.90313
cg01918706,0.02381
cg01930621,0.05796
cg01936220,0.19412
cg01939962,0.90321
cg01940273,0.48954
cg01946401,0.37065
cg01956624,0.01028
cg01960979,0.83433
cg01975858,0.88745
cg02016419,0.41943
cg02019988,0.18254
cg02027561,0.69242
cg02066343,0.69675
cg02071305,0.28889
cg02081065,0.90827
cg02089135,0.07695
cg02115397,0.92297
cg02135821,0.92861
cg02150207,0.96233
cg02151301,0.31384
cg02154074,0.19859
cg02189786,0.00581
cg02193806,0.76173
cg02197293,0.26084
cg02220125,0.52416
cg02228185,0.72857
cg02229946,0.83436
cg02272457,0.94568
cg02291424,0.04646
cg02295856,0.79291
cg02309431,0.81139
cg02356786,0.07669
cg02373784,0.15713
cg02395454,0.55321
cg02415341,0.7217
cg02480835,0.02442
cg02483931,0.30857
cg02503970,0.07652
cg02505126,0.00651
cg02514143,0.92648
cg02515033,0.99685
cg02580250,0.43156
cg02580722,0.03851
cg02591356,0.21434
cg02613108,0.32749
cg02627240,0.61731
cg02631957,0.07701
cg02633924,0.0461
cg02713068,0.09431
cg02716826,0.32213
cg02735486,0.68779
cg02767242,0.27337
cg02780017,0.15623
cg02782857,0.87958
cg02802055,0.03726
cg02817030,0.10668
cg02831419,0.89817
cg02853801,0.17061
cg02875404,0.81021
cg02880119,0.73504
cg02922734,0.87783
cg02925268,0.87815
cg02931526,0.91212
cg02970861,0.04943
cg02974659,0.66667
cg02976574,0.94709
cg02991799,0.0
cg03007010,0.03893
cg03072681,0.47409
cg03096347,0.60602
cg03098356,0.00537
cg03110633,0.0
cg03112631,0.05254
cg03112869,0.91622
cg03153178,0.03753
cg03172657,0.62587
cg03172991,0.43674
cg03258472,0.47024
cg03259703,0.7815
cg03274876,0.00977
cg03276920,0.32295
cg03294557,0.60818
cg03322338,0.34532
cg03340261,0.03916
cg03345668,0.57831
cg03358468,0.89831
cg03387497,0.85413
cg03393241,0.85788
cg03394401,0.21752
cg03400403,0.99086
cg03415429,0.01506
cg03424844,0.62656
cg03443360,0.4713
cg03460603,0.88563
cg03473532,0.72283
cg03494277,0.86315
cg03522107,0.2973
cg03524223,0.04929
cg03535648,0.94587
cg03546163,0.50506
cg03565081,0.27301
cg03568017,0.09757
cg03574306,0.68076
cg03604011,0.13965
cg03623878,0.08027
cg03634479,0.21357
cg03636183,0.59314
cg03699074,0.20433
cg03703325,0.0816
cg03706056,0.09438
cg03707967,0.6805
cg03714531,0.05264
cg03724882,0.09494
cg03730314,0.47563
cg03739265,0.94432
cg03760035,0.99769
cg03764506,0.04321
cg03807873,0.8227
cg03819692,0.80543
cg03827386,0.90488
cg03840504,0.04294
cg03860256,0.44391
cg03900798,0.91189
cg03900851,0.00538
cg03913456,0.29902
cg03929796,0.23473
cg03950121,0.81818
cg03955530,0.70788
cg03974717,0.05076
cg03977782,0.06101
cg03991512,0.42847
cg03997502,0.81539
cg04007936,0.92847
cg04014889,0.86641
cg04018738,0.86568
cg04053045,0.0825
cg04084157,0.1542
cg04087608,0.81229
cg04120520,0.79932
cg04135242,0.92862
cg04169469,0.13468
cg04196119,0.57586
cg04243822,0.90582
cg04254609,0.0484
cg04265051,0.56971
cg04323814,0.47867
cg04333463,0.0056
cg04344923,0.89452
cg04359302,0.76606
cg04379563,0.92286
cg04416752,0.06856
cg04424621,0.12099
cg04431596,0.94537
cg04480914,0.09024
cg04528819,0.19645
cg04588969,0.96646
cg04599158,0.85694
cg04601137,0.31599
cg04607246,0.90446
cg04616566,0.88206
cg04634427,0.60847
cg04659537,0.52762
cg04661709,0.61173
cg04718414,0.09214
cg04736140,0.04617
cg04745805,0.05817
cg04748223,0.62588
cg04755031,0.11583
cg04764584,0.46039
cg04785972,0.22964
cg04818845,0.5471
cg04832325,0.69136
cg04836038,0.20463
cg04836987,0.90611
cg04946715,0.02859
cg04967775,0.06166
cg04974804,0.88419
cg04976151,0.33303
cg04987004,0.90743
cg05021075,0.46501
cg05065162,0.87612
cg05078817,0.89527
cg05087948,0.08076
cg05089968,0.84388
cg05090127,0.16121
cg05125838,0.32659
cg05144928,0.58014
cg05174890,0.09784
cg05180206,0.88078
cg05182912,0.90304
cg05218245,0.81615
cg05228408,0.37268
cg05241355,0.10345
cg05270634,0.05893
cg05276137,0.06523
cg05294243,0.23696
cg05303999,0.89162
cg05308744,0.98187
cg05313771,0.08025
cg05316065,0.55913
cg05420896,0.12521
cg05422352,0.40525
cg05425050,0.04902
cg05440289,0.79789
cg05441133,0.81392
cg05442902,0.24131
cg05461666,0.92666
cg05466385,0.89503
cg05473871,0.1775
cg05492270,0.01021
cg05495454,0.93344
cg05501584,0.16585
cg05515143,0.94414
cg05532892,0.05535
cg05575505,0.46446
cg05575921,0.79992
cg05590616,0.04735
cg05604079,0.2123
cg05613002,0.0
cg05638439,0.56473
cg05661164,0.85578
cg05697249,0.67057
cg05710301,0.92088
cg05732130,0.04052
cg05737638,0.84493
cg05747812,0.88425
cg05759269,0.05742
cg05782444,0.8248
cg05815247,0.76359
cg05817517,0.05046
cg05839709,0.68875
cg05845376,0.75038
cg05851163,0.04378
cg05890887,0.00167
cg05898102,0.12239
cg05971102,0.65233
cg05993589,0.89891
cg05995267,0.10105
cg05996213,0.4417
cg06022832,0.89719
cg06051159,0.66369
cg06127256,0.98335
cg06133392,0.92727
cg06134964,0.46322
cg06144905,0.20232
cg06147196,0.79718
cg06171242,0.04248
cg06176987,0.95093
cg06189653,0.03138
cg06213463,0.00331
cg06259664,0.88805
cg06266189,0.62297
cg06295856,0.1176
cg06327515,0.37084
cg06349851,0.88406
cg06363129,0.42744
cg06372850,0.36393
cg06413272,0.71804
cg06418475,0.31305
cg06419850,0.11236
cg06439736,0.88008
cg06440348,0.85318
cg06493994,0.23736
cg06500161,0.53464
cg06513864,0.03064
cg06533629,0.10077
cg06560379,0.09645
cg06563451,0.11458
cg06625640,0.57917
cg06637774,0.40241
cg06638451,0.60881
cg06644428,0.05178
cg06649410,0.19203
cg06690548,0.8875
cg06705834,0.07895
cg06722193,0.22455
cg06752157,0.8416
cg06806711,0.43625
cg06809285,0.84928
cg06809342,0.77738
cg06813250,0.70695
cg06841024,0.06521
cg06854487,0.09742
cg06901711,0.65695
cg06903325,0.88179
cg06908778,0.17571
cg06911753,0.99313
cg06912355,0.88751
cg06946797,0.18179
cg06958034,0.09732
cg06959205,0.52932
cg06975311,0.19958
cg06975499,0.05927
cg06994793,0.04577
cg07017437,0.7282
cg07025011,0.44211
cg07031797,0.07171
cg07038400,0.61594
cg07039560,0.69501
cg07073964,0.58525
cg07105440,0.05803
cg07113802,0.32335
cg07120314,0.004
cg07127225,0.05
cg07180649,0.16485
cg07205627,0.3645
cg07211259,0.13043
cg07236943,0.05996
cg07258300,0.93
cg07265300,0.07596
cg07268726,0.87558
cg07284273,0.20115
cg07338119,0.96818
cg07412232,0.87628
cg07477034,0.22449
cg07484827,0.86057
cg07494518,0.10462
cg07520608,0.18597
cg07529654,0.53188
cg07539443,0.78358
cg07543883,0.61153
cg07553761,0.31457
cg07573872,0.65898
cg07582047,0.05359
cg07592681,0.85522
cg07631435,0.57353
cg07654934,0.03978
cg07660627,0.75075
cg07665217,0.81784
cg07677157,0.18827
cg07690734,0.98347
cg07733920,0.65567
cg07793207,0.16324
cg07817698,0.01887
cg07839457,0.59191
cg07842062,0.66005
cg07850604,0.10698
cg07871532,0.78882
cg07927953,0.89934
cg07929310,0.07691
cg07951602,0.87345
cg07973162,0.70446
cg07984286,0.25967
cg08007899,0.26543
cg08035942,0.09835
